Temperature (*C), Pressure (hPa), Approx. Altitude (meters), Time(s), Motion,Corrected Time (s)
2.8,593.27,4297.33,2978,1,679
2.81,592.7,4304.42,2979,1,680
2.82,592.15,4311.17,2980,1,681
2.77,591.65,4317.67,2981,1,682
2.75,591.15,4323.62,2982,1,683
2.7,590.71,4329.32,2983,1,684
2.57,590.27,4335.32,2984,1,685
2.49,589.79,4341.47,2985,1,686
2.47,589.32,4347.12,2986,1,687
2.46,588.89,4352.85,2987,1,688
2.45,588.44,4358.75,2988,0,689
2.44,587.99,4364.95,2989,0,690
2.42,587.48,4371.24,2990,0,691
2.39,587.01,4377.26,2991,0,692
2.36,586.55,4382.95,2992,1,693
2.35,586.13,4388.42,2993,1,694
2.31,585.7,4394.67,2994,1,695
